Rk,Player,Pos,Age,Tm,G,MP,PER,TS%▼,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Joe Ingles\inglejo01,SF,33,UTA,50,1341,17.0,.714,.710,.169,1.8,12.0,7.1,22.1,1.2,0.6,15.7,15.9,,4.0,1.6,5.6,.199,,3.3,1.0,4.4,2.2
2,Ivica Zubac\zubaciv01,C,23,LAC,57,1269,19.7,.694,.010,.440,14.2,22.9,18.6,7.5,0.9,3.5,14.4,15.0,,4.0,1.7,5.7,.214,,0.9,-0.2,0.7,0.9
3,Jarrett Allen\allenja01,C,22,TOT,46,1327,21.6,.680,.038,.659,11.6,27.1,19.3,8.8,0.8,5.1,13.6,16.9,,3.6,1.7,5.3,.193,,2.1,0.1,2.2,1.4
4,Rudy Gobert\goberru01,C,28,UTA,55,1705,23.7,.675,.007,.690,12.0,32.7,22.7,6.3,0.8,7.3,13.1,17.1,,4.8,4.0,8.8,.248,,2.1,2.5,4.6,2.9
5,Richaun Holmes\holmeri01,C,27,SAC,50,1499,20.3,.674,.022,.298,9.3,24.0,16.5,8.0,1.1,4.5,10.4,16.7,,4.1,1.0,5.2,.165,,0.7,-0.2,0.5,1.0
6,Joe Harris\harrijo01,SF,29,BRK,55,1688,14.5,.671,.642,.086,2.4,10.4,6.6,8.3,1.0,0.5,7.1,16.0,,3.6,0.8,4.5,.127,,2.0,-1.4,0.6,1.1
7,Kevin Durant\duranke01,PF,32,BRK,22,749,25.7,.665,.316,.407,1.4,21.1,11.7,24.9,0.9,3.4,15.4,32.0,,2.2,0.8,2.9,.187,,5.7,0.0,5.7,1.4
8,Stephen Curry\curryst01,PG,32,GSW,48,1627,26.5,.660,.572,.289,1.6,15.7,8.7,31.4,1.7,0.3,12.0,33.2,,5.3,1.8,7.1,.208,,8.0,0.2,8.2,4.2
9,Robin Lopez\lopezro01,C,32,WAS,54,1088,15.8,.657,.057,.350,11.1,10.4,10.7,6.1,0.6,2.5,13.8,16.1,,2.1,0.6,2.7,.121,,-0.1,-1.4,-1.5,0.1
10,Zion Williamson\willizi01,PF,20,NOP,50,1646,27.9,.656,.032,.519,8.7,15.3,12.0,20.0,1.3,2.0,11.1,29.7,,6.4,1.0,7.4,.216,,5.9,-0.2,5.6,3.2
11,Deandre Ayton\aytonde01,C,22,PHO,55,1680,20.5,.653,.035,.253,12.5,26.8,19.8,6.9,0.8,3.4,12.8,19.5,,4.0,2.7,6.8,.194,,0.7,0.1,0.8,1.2
